CAJA;CARPETA;DESCRIPCIÓN;NUM_CARPETA;FOLIOS
CJ0001;1000122930;1000122930;;56
CJ0001;1006157183;1006157183;;37
CJ0001;1010188473;1010188473;;33
CJ0001;1012372092;1012372092;;32
CJ0001;1012387889;1012387889;;36
CJ0001;1012416503;1012416503;;32
CJ0001;1012439882;1012439882;;56
CJ0001;1013600830;1013600830;;40
CJ0001;1013621407;1013621407;;38
CJ0001;1013657063;1013657063;;25
CJ0001;1015408583;1015408583;;38
CJ0001;1018420683;1018420683;;48
CJ0001;1018469506;1018469506;;34
CJ0001;1019031077;1019031077;;50
CJ0001;1019114609;1019114609;;39
CJ0001;1022417742;1022417742;;37
CJ0001;1023008211;1023008211;;70
CJ0001;1023029696;1023029696;;39
CJ0001;1024519799;1024519799;;37
CJ0002;1024563265;1024563265;;43
CJ0002;1026292883;1026292883;;41
CJ0002;1026307301;1026307301;;36
CJ0002;1026588471;1026588471;;39
CJ0002;1030679621;1030679621;;38
CJ0002;1032394405;1032394405;;31
CJ0002;1032425476;1032425476;;43
CJ0002;1033654875;1033654875;;38
CJ0002;1033731493;1033731493;;38
CJ0002;1047434287;1047434287;;54
CJ0002;1057595777;1057595777;;38
CJ0002;1070917719;1070917719;;30
CJ0002;1073158590;1073158590;;29
CJ0002;1081925693;1081925693;;25
CJ0002;1143853520;1143853520;;32
CJ0002;1152696709;1152696709;;41
CJ0002;1233494896;1233494896;;44
CJ0002;21017549;21017549;;45
CJ0002;39661847;39661847;;33
CJ0002;39763299;39763299;;62
CJ0003;50930661;50930661;;31
CJ0003;51768425;51768425;;82
CJ0003;52059715;52059715;;44
CJ0003;52067313;52067313;;76
CJ0003;52303216;52303216;;37
CJ0003;52350012;52350012;;31
CJ0003;52447258;52447258;;44
CJ0003;52471352;52471352;;45
CJ0003;52997723;52997723;;66
CJ0003;53042807;53042807;;64
CJ0003;65719688;65719688;;32
CJ0003;65788456;65788456;;38
CJ0003;79902083;79902083;;42
CJ0003;80167946;80167946;;27
CJ0003;80430937;80430937;;49
CJ0003;80463572;80463572;;40
CJ0003;80828127;80828127;;52
