CAJA;CARPETA;DESCRIPCIÓN;NUM_CARPETA;FOLIOS
CAJA 1;CONTRATO_1134_2019_28;CONTRATO 1134;28;33
CAJA 1;CONTRATO_1134_2019_29;CONTRATO 1134;29;34
CAJA 1;CONTRATO_1134_2019_63;CONTRATO 1134;63;65
CAJA 1;CONTRATO_1134_2019_64;CONTRATO 1134;64;38
CAJA 1;CONTRATO_1134_2019_127;CONTRATO 1134;127;25
CAJA 1;CONTRATO_1134_2019_128;CONTRATO 1134;128;41
CAJA 1;CONTRATO_1134_2019_129;CONTRATO 1134;129;37
CAJA 1;CONTRATO_1134_2019_130;CONTRATO 1134;130;40
CAJA 1;CONTRATO_1134_2019_131;CONTRATO 1134;131;23
CAJA 1;CONTRATO_1134_2019_132;CONTRATO 1134;132;31
CAJA 1;CONTRATO_1134_2019_133;CONTRATO 1134;133;16
CAJA 1;CONTRATO_1134_2019_134;CONTRATO 1134;134;16
CAJA 1;CONTRATO_1134_2019_135;CONTRATO 1134;135;8
CAJA 1;CONTRATO_1134_2019_136;CONTRATO 1134;136;32
CAJA 1;CONTRATO_1134_2019_302;CONTRATO 1134;302;15
CAJA 1;CONTRATO_1134_2019_385;CONTRATO 1134;385;23
CAJA 1;CONTRATO_1134_2019_434;CONTRATO 1134;434;55
CAJA 1;CONTRATO_1134_2019_546;CONTRATO 1134;546;54
CAJA 1;CONTRATO_1134_2019_572;CONTRATO 1134;572;32
CAJA 1;CONTRATO_1134_2019_889;CONTRATO 1134;889;44
CAJA 1;CONTRATO_1134_2019_927;CONTRATO 1134;927;54
CAJA 1;CONTRATO_1134_2019_993;CONTRATO 1134;993;55
CAJA 1;CONTRATO_1134_2019_997;CONTRATO 1134;997;162
CAJA 1;CONTRATO_1134_2019_1062;CONTRATO 1134;1062;82
CAJA 1;CONTRATO_1134_2019_1077;CONTRATO 1134;1077;54
CAJA 1;CONTRATO_1134_2019_1145;CONTRATO 1134;1145;74
CAJA 1;CONTRATO_1134_2019_1607;CONTRATO 1134;1607;15
CAJA 1;CONTRATO_1134_2019_1717;CONTRATO 1134;1717;111
CAJA 1;CONTRATO_1134_2019_1718;CONTRATO 1134;1718;69
CAJA 1;CONTRATO_1134_2019_1719;CONTRATO 1134;1719;50
CAJA 1;CONTRATO_1134_2019_1720;CONTRATO 1134;1720;73
CAJA 1;CONTRATO_1134_2019_1721;CONTRATO 1134;1721;74
CAJA 1;CONTRATO_1134_2019_1722;CONTRATO 1134;1722;52
CAJA 1;CONTRATO_1134_2019_1723;CONTRATO 1134;1723;67
CAJA 1;CONTRATO_1134_2019_1724;CONTRATO 1134;1724;56
CAJA 1;CONTRATO_1134_2019_1725;CONTRATO 1134;1725;18
CAJA 1;CONTRATO_1134_2019_1752;CONTRATO 1134;1752;58
CAJA 1;CONTRATO_1134_2019_1753;CONTRATO 1134;1753;77
CAJA 1;CONTRATO_1134_2019_1754;CONTRATO 1134;1754;71
CAJA 1;CONTRATO_1134_2019_1755;CONTRATO 1134;1755;72
CAJA 1;CONTRATO_1134_2019_1756;CONTRATO 1134;1756;72
